,,,2020,,2016,,2012,,2008,
District,Incumbent,Party,Biden,Trump,Clinton,Trump,Obama,Romney,Obama,McCain
KS-01,Tracey Mann,(R),28.1,69.7,24.3,69.3,27.6,70.1,31.0,67.2
KS-02,Jake LaTurner,(R),41.3,56.3,37.4,55.8,42.2,55.4,45.3,52.8
KS-03,Sharice Davids,(D),54.3,43.7,47.2,46.0,44.3,53.8,48.8,49.9
KS-04,Ron Estes,(R),38.0,59.7,33.0,60.2,36.1,61.6,39.5,58.6
KY-01,James Comer,(R),25.5,73.1,23.9,72.4,32.1,66.4,36.9,61.6
KY-02,Brett Guthrie,(R),30.6,67.6,27.6,67.5,35.1,63.3,37.2,61.5
KY-03,John Yarmuth,(D),60.0,38.1,54.9,39.9,55.7,42.8,56.2,42.8
KY-04,Thomas Massie,(R),33.4,64.7,29.3,65.2,34.8,63.4,37.0,61.5
KY-05,Hal Rogers,(R),18.6,80.1,17.5,79.6,23.2,75.0,31.6,66.6
KY-06,Andy Barr,(R),44.5,53.6,39.4,54.7,42.2,55.8,44.8,53.7
LA-01,Steve Scalise,(R),30.1,68.0,26.7,68.7,26.9,70.9,25.3,72.7
LA-02,Troy Carter,(D),75.3,23.0,74.6,22.2,75.8,22.8,73.4,25.4
LA-03,Clay Higgins,(R),30.2,68.1,29.2,67.3,32.3,66.1,34.1,64.2
LA-04,Mike Johnson,(R),37.0,61.5,36.6,60.6,39.7,59.0,39.9,58.9
LA-05,Julia Letlow,(R),34.1,64.5,34.1,63.5,37.7,61.0,36.7,62.0
LA-06,Garret Graves,(R),34.4,63.8,31.0,64.8,32.0,66.1,30.9,67.5
MA-01,Richard Neal,(D),61.1,36.9,57.2,36.5,64.0,34.3,64.1,33.7
MA-02,Jim McGovern,(D),61.8,36.0,56.2,36.8,58.7,39.2,60.4,37.5
MA-03,Lori Trahan,(D),63.4,34.6,58.2,35.4,56.9,41.4,58.8,39.4
MA-04,Jake Auchincloss,(D),64.5,33.7,59.2,35.0,57.2,41.3,60.4,37.9
MA-05,Katherine Clark,(D),74.5,23.9,69.3,25.7,65.2,33.1,66.2,32.1
MA-06,Seth Moulton,(D),62.6,35.6,56.1,38.2,54.7,43.9,56.9,41.4
MA-07,Ayanna Pressley,(D),85.3,13.3,84.1,11.9,82.5,15.6,81.9,16.7
MA-08,Stephen Lynch,(D),66.2,32.2,60.4,34.4,57.8,40.8,57.9,40.5
MA-09,Bill Keating,(D),57.9,40.3,52.5,41.8,55.5,43.1,57.8,40.6
MD-01,Andy Harris,(R),39.1,58.8,33.4,62.0,37.7,60.4,38.4,59.6
MD-02,Dutch Ruppersberger,(D),65.8,32.4,60.1,35.7,63.1,35.0,60.6,37.5
MD-03,John Sarbanes,(D),68.7,29.4,62.8,32.3,60.7,37.1,60.1,38.0
MD-04,Anthony Brown,(D),79.1,19.2,77.2,19.7,78.1,20.8,77.3,21.8
MD-05,Steny Hoyer,(D),68.6,29.7,64.1,32.1,66.1,32.4,65.1,33.6
MD-06,David Trone,(D),60.6,37.5,55.3,40.2,55.2,42.8,56.3,42.0
MD-07,Kweisi Mfume,(D),78.4,20.0,75.8,20.2,76.2,22.3,76.2,22.4
MD-08,Jamie Raskin,(D),69.3,28.9,65.0,30.6,62.0,36.0,62.8,35.6
ME-01,Chellie Pingree,(D),60.1,37.0,54.1,39.3,59.6,38.2,60.7,37.5
ME-02,Jared Golden,(D),44.8,52.3,41.1,51.4,53.0,44.4,54.6,43.4
MI-01,Jack Bergman,(R),40.6,57.9,36.6,57.9,45.3,53.6,49.7,48.4
MI-02,Bill Huizenga,(R),43.2,55.0,38.2,55.8,43.1,56.0,48.0,50.3
MI-03,Peter Meijer,(R),47.4,50.6,42.2,51.6,45.8,53.1,49.7,48.6
MI-04,John Moolenaar,(R),37.1,61.2,34.7,59.5,45.5,53.5,49.6,48.6
MI-05,Dan Kildee,(D),51.4,47.1,49.7,45.5,60.7,38.3,63.0,35.3
MI-06,Fred Upton,(R),46.8,51.3,42.9,51.3,48.8,50.2,53.1,45.2
MI-07,Tim Walberg,(R),41.4,56.9,38.7,55.7,47.9,51.0,50.8,47.4
MI-08,Elissa Slotkin,(D),48.8,49.6,43.9,50.6,48.0,51.1,52.0,46.4
MI-09,Andy Levin,(D),55.9,42.7,51.5,43.7,57.2,41.9,58.1,40.1
MI-10,Lisa McClain,(R),34.4,64.2,31.6,63.8,43.7,55.3,48.0,50.0
MI-11,Haley Stevens,(D),51.6,47.1,45.3,49.7,46.9,52.3,50.2,48.3
MI-12,Debbie Dingell,(D),64.2,34.4,60.8,34.5,66.2,32.8,66.9,31.4
MI-13,Rashida Tlaib,(D),78.8,20.0,78.8,18.1,85.2,14.3,84.8,14.2
MI-14,Brenda Lawrence,(D),79.5,19.5,79.2,18.3,81.0,18.6,82.2,17.1
MN-01,Brad Finstad,(R),43.9,54.0,38.4,53.3,49.6,48.2,50.8,46.7
MN-02,Angie Craig,(D),52.4,45.5,45.3,46.5,49.1,49.0,50.5,47.6
MN-03,Dean Phillips,(D),58.7,39.4,50.8,41.4,49.6,48.8,51.0,47.4
MN-04,Betty McCollum,(D),67.5,30.5,61.5,30.6,62.5,35.5,62.6,35.5
MN-05,Ilhan Omar,(D),80.3,17.7,73.7,18.5,73.5,24.0,73.4,24.5
MN-06,Tom Emmer,(R),38.8,59.0,33.2,58.9,41.5,56.5,43.2,54.7
MN-07,Michelle Fischbach,(R),34.4,63.8,31.0,61.8,44.1,53.9,47.1,50.4
MN-08,Pete Stauber,(R),41.7,56.3,38.6,54.2,51.7,46.2,53.1,44.5
MO-01,Cori Bush,(D),80.3,18.1,77.0,18.8,79.9,18.9,80.3,18.6
